title,release_date,sentiment
ESWAT™: City Under Siege,2010-10-26,1 user reviews
Ecco™: The Tides of Time,2010-10-26,1 user reviews
Decap Attack™,2010-10-26,2 user reviews
Bio-Hazard Battle™,2010-10-26,3 user reviews
Alien Storm,2010-10-26,1 user reviews
Shank,2010-10-25,Very Positive
The Ball,2010-10-26,Mostly Positive
STAR WARS™: The Force Unleashed™ II,2010-10-26,Mixed
Flight Control HD,2010-11-18,Very Positive
Patrician III,2010-11-18,Mostly Positive
BIT.TRIP BEAT,2010-11-02,Very Positive
Theatre of War 2 - Battle for Caen,2010-11-02,3 user reviews
Woody Two-Legs: Attack of the Zombie Pirates,2010-11-02,Mixed
Clones,2010-11-18,Mostly Positive
Victoria II: Interwar Spritepack,2010-11-02,Mostly Positive
Front Mission Evolved: Wanzer Pack 2,2010-11-02,1 user reviews
Pound of Ground,2010-11-05,Mixed
Pat &amp; Mat,2009-10-01,Very Positive
Alternativa,2010-11-03,Mixed
Fish Fillets 2,2007-04-05,Positive
Archon Classic,2010-11-02,Very Positive
Call of Duty®: Black Ops,2010-11-09,Very Positive
Rhythm Zone Tornado Visualizer DLC,2010-11-09,nan
Arcadia,2010-12-02,Mixed
Oddworld: Munch's Oddysee,2010-12-20,Mostly Positive
Rhythm Zone DJ Table Visualizer DLC,2010-11-09,1 user reviews
Oddworld: Stranger's Wrath HD,2010-12-20,Very Positive
Clickr,2010-12-23,Mostly Positive
Back to the Future: The Game,2010-12-23,Very Positive
Grand Theft Auto III,2002-05-21,Very Positive
Grand Theft Auto: San Andreas,2005-06-06,Very Positive
Lara Croft GoL: Raziel and Kain Character Pack,2011-01-07,8 user reviews
Lara Croft GoL: Things that Go Boom - Challenge Pack 2,2011-01-07,4 user reviews
Lara Croft GoL: Hazardous Reunion - Challenge Pack 3,2011-01-07,6 user reviews
Lara Croft GoL: All the Trappings - Challenge Pack 1,2011-01-07,Mixed
Grand Theft Auto: Vice City,2003-05-13,Very Positive
Zeit²,2011-01-12,Mostly Positive
A.R.E.S.: Extinction Agenda,2011-01-20,Mostly Positive
APOX,2011-01-20,Mostly Negative
Dead Space™ 2,2011-01-25,Very Positive
Drawn®: The Painted Tower,2011-01-19,Very Positive
Kaptain Brawe: A Brawe New World,2011-01-20,Mostly Positive
Wonder Boy III: Monster Lair,2011-01-26,5 user reviews
Monday Night Combat,2011-01-24,Very Positive
Luxor: 5th Passage,2011-01-25,Mostly Positive
Alien Soldier,2011-01-26,5 user reviews
Shining in the Darkness,2011-01-26,2 user reviews
Light Crusader,2011-01-26,3 user reviews
Landstalker: The Treasures of King Nole,2011-01-26,5 user reviews
Gunstar Heroes,2011-01-26,4 user reviews
ToeJam &amp; Earl,2011-01-26,5 user reviews
Streets of Rage 2,2011-01-26,6 user reviews
Sonic The Hedgehog 2,2011-01-26,9 user reviews
Streets of Rage,2011-01-26,7 user reviews
Sonic 3 &amp;  Knuckles,2011-01-26,Positive
Shining Force II,2011-01-26,4 user reviews
Shining Force,2011-01-26,8 user reviews
The Sims™ 3,2009-06-02,Very Positive
Ship Simulator Extremes: Sigita Pack,2011-01-26,8 user reviews
The Sims™ 3 Fast Lane Stuff,2010-09-07,Positive
The Sims™ 3 World Adventures,2009-11-17,Positive
The Sims™ 3 Late Night,2010-10-26,Very Positive
The Sims™ 3 Ambitions,2010-06-02,Positive
The Sims™ 3 High-End Loft Stuff,2010-02-02,Mostly Positive
Trino,2011-01-27,Mostly Positive
Mishap 2: An Intentional Haunting - Collector's Edition,2011-01-28,2 user reviews
The Sims™ 3 Outdoor Living Stuff,2011-02-01,7 user reviews
Who's That Flying?!,2011-01-31,Mostly Positive
Myst: Masterpiece Edition,2011-02-02,Mixed
Guardians of Graxia: Elves &amp; Dwarves,2011-02-01,2 user reviews
Two Worlds II HD,2011-02-03,Mixed
YOU DON’T KNOW JACK®,2011-02-08,Very Positive
Test Drive Unlimited 2,Feb 2011,Mixed
King Arthur: The Druids,2011-02-03,1 user reviews
Gratuitous Space Battles: Galactic Conquest,2011-02-11,3 user reviews
The Kings' Crusade: New Allies,2011-02-09,nan
DUNGEONS - Steam Special Edition,2011-02-10,Mixed
AI War: Light of the Spire,2011-02-14,5 user reviews
Drakensang: The River of Time,2011-01-11,Mostly Positive
RISK™: Factions,2011-03-08,Mostly Positive
Crazy Machines 2: Time Travel Add-On,2011-03-11,1 user reviews
BIT.TRIP RUNNER,2011-02-28,Very Positive
Homefront,2011-03-14,Mixed
Fate of the World,2011-02-28,Very Positive
B.U.T.T.O.N. (Brutally Unfair Tactics Totally OK Now),2011-02-28,Mostly Positive
"Warhammer 40,000: Dawn of War II - Retribution - Tyranid Race Pack",2011-02-28,3 user reviews
"Warhammer 40,000: Dawn of War II - Retribution Ork Race Pack",2011-02-28,nan
"Warhammer 40,000: Dawn of War II - Retribution Imperial Guard Race Pack",2011-02-28,1 user reviews
"Warhammer 40,000: Dawn of War II - Retribution Eldar Race Pack",2011-02-28,nan
"Warhammer 40,000: Dawn of War II - Retribution Chaos Space Marines Race Pack",2011-02-28,1 user reviews
RIFT,2013-10-24,Mostly Positive
"Warhammer 40,000: Dawn of War II: Retribution",2011-02-28,Very Positive
Dinner Date,2011-03-01,Mixed
"Warhammer 40,000: Dawn of War II - Retribution Space Marines Race Pack",2011-02-28,nan
Shadow Harvest: Phantom Ops,2011-04-05,Mostly Negative
Cities in Motion: Design Classics,2011-04-05,1 user reviews
Ship Simulator Extremes: Ferry Pack,2011-04-05,Mostly Positive
"Warhammer 40,000: Dawn of War II: Retribution: Dark Angels Pack",2011-04-06,2 user reviews
STCC The Game 2 – Expansion Pack for RACE 07,2011-04-08,Positive
Anomaly: Warzone Earth,2011-04-08,Very Positive
Armada 2526,2010-06-10,Mixed
Darkest Hour: A Hearts of Iron Game,2011-04-08,Very Positive
Dungeons: Into the Dark DLC Pack,2011-04-11,nan
Dino D-Day,2011-04-08,Very Positive
Patrician IV: Rise of a Dynasty,2011-04-11,Mixed
Portal 2,2011-04-18,Overwhelmingly Positive
Magicka: Vietnam,2011-04-12,Very Positive
Sanctum,2011-04-15,Very Positive
Majesty 2 Collection,2011-04-19,Mostly Positive
"Warhammer 40,000: Dawn of War II - Retribution - Mekboy Wargear DLC",2011-05-26,nan
Dawn of War II: Retribution – The Last Stand,2011-04-20,Positive
"Warhammer 40,000: Dawn of War II - Retribution - Farseer Wargear DLC",2011-05-26,nan
Frozen Synapse,2011-05-26,Very Positive
"Warhammer 40,000: Dawn of War II: Retribution - Captain Wargear DLC",2011-05-26,nan
Winter Voices Episode 4: Amethyst Rivers,2011-05-27,3 user reviews
Hunted: The Demon’s Forge™,2011-05-30,Mixed
Hamilton's Great Adventure,2011-05-31,Mostly Positive
The Sims™ 3 Generations,2011-05-31,Positive
Cities in Motion: Tokyo,2011-05-31,nan
Magicka: Nippon,2011-05-31,Positive
Ghostbusters: Sanctum of Slime Challenge Pack DLC,2011-06-01,nan
Still Life 2,2009-08-10,Mixed
Still Life,2005-06-06,Very Positive
Call of Duty®: Black Ops Escalation Content Pack,2011-06-02,Mostly Positive
Dungeon Siege III,2011-06-20,Mixed
Duke Nukem Forever,2011-06-13,Mixed
A.V.A. Alliance of Valiant Arms™,2011-06-14,Mixed
Champions Online,2009-09-01,Mostly Positive
Spiral Knights,2011-06-14,Very Positive
Spectromancer - Truth &amp; Beauty,2011-06-13,1 user reviews
Cities in Motion: Design Now,2011-06-14,1 user reviews
Two Worlds II Castle Defense,2011-06-14,Mixed
The Cat and the Coup,2011-06-15,Very Positive
Magic: The Gathering - Duels of the Planeswalkers 2012,2011-06-15,Very Positive
Ancients of Ooga,2011-05-20,Mostly Positive
Beat Hazard Ultra,2011-06-16,Very Positive
Frozen Synapse: Soundtrack,2011-06-16,nan
Solar 2,2011-06-17,Very Positive
Ironclads: Schleswig War 1864,2011-06-21,9 user reviews
Ironclads: Anglo Russian War 1866,2011-06-21,Mixed
Magicka: Final Frontier,2011-06-21,Positive
Ironclads: Chincha Islands War 1866,2011-06-21,7 user reviews
F.E.A.R. 3,2011-06-21,Mostly Positive
Magicka: Frozen Lake,2011-06-21,Mostly Positive
Magicka: The Watchtower,2011-06-21,Mostly Positive
Trainz Simulator DLC: The Duchess,2011-06-22,nan
Magicka: Party Robes,2011-06-21,Mostly Positive
Europa Universalis III: Western - AD 1400 Spritepack,2011-06-23,nan
Dungeons and Dragons: Daggerdale,2011-06-24,Mostly Negative
RETRO – Expansion Pack for RACE 07,2011-06-23,Positive
Farming Simulator 2011 Equipment Pack 2,2011-06-24,nan
Europa Universalis III: Eastern - AD 1400 Spritepack,2011-06-23,nan
Hearts of Iron III: For the Motherland,2011-06-28,4 user reviews
Worms Reloaded: Puzzle Pack,2011-06-30,9 user reviews
Worms Reloaded: Retro Pack,2011-06-30,6 user reviews
Worms Reloaded: Time Attack Pack,2011-06-30,5 user reviews
Dungeons: Map Pack DLC,2011-07-01,nan
Worms Reloaded: Forts Pack,2011-06-30,7 user reviews
Puzzle Agent 2,2011-06-30,Very Positive
Killing Floor: Steampunk Character Pack,2011-07-02,Positive
Pride of Nations: Spanish-American War 1898,2011-07-18,nan
Tobe's Vertical Adventure,2011-07-18,Mostly Positive
Fallout New Vegas: Old World Blues,2011-07-18,Very Positive
"Warhammer 40,000: Dawn of War II: Retribution - Ulthwe Wargear DLC",2011-07-19,nan
IL-2 Sturmovik: Cliffs of Dover,2011-07-19,Mixed
Lucid,2011-07-19,Mostly Positive
Train Simulator: BR Class 421 '4CIG' Loco,2011-07-19,9 user reviews
Homefront: Express 870 Shotgun,2011-07-21,Positive
Runespell: Overture,2011-07-20,Mostly Positive
Men of War: Assault Squad - Skirmish Pack,2011-07-21,Mixed
Aaaaa! - Brutal Concussion,2011-07-22,3 user reviews
Delve Deeper: Treasures and Tunnels,2011-07-22,1 user reviews
A.R.E.S.: Berzerker Suit,2011-07-22,7 user reviews
Cities in Motion: Metro Stations,2011-07-22,6 user reviews
Nancy Drew®: Secrets Can Kill REMASTERED,2010-08-24,Mostly Positive
ARMA: Cold War Assault,2011-08-08,Very Positive
SpaceChem: 63 Corvi,2011-07-22,Positive
Tropico 4,2011-09-01,Very Positive
Nancy Drew®: The Captive Curse,2011-06-28,Positive
Nancy Drew®: Trail of the Twister,2010-06-29,Mixed
The Clockwork Man,2011-08-10,Mixed
Pride of Nations: American Civil War 1862,2011-08-10,nan
EDGE,2011-08-11,Very Positive
Civilization V - Civ and Scenario Pack: Korea,2011-08-11,Mixed
Civilization V - Scenario Pack: Wonders of the Ancient World,2011-08-11,Positive
Sanctum: Official Soundtrack,2011-08-12,5 user reviews
Hacker Evolution Duality,2011-08-15,Mostly Negative
Space Pirates and Zombies,2011-08-15,Very Positive
Section 8: Prejudice Frontier Colonies Map Pack,2011-08-16,9 user reviews
Section 8: Prejudice Blitz Pack,2011-08-16,5 user reviews
Section 8: Prejudice Overdrive Map Pack,2011-08-16,5 user reviews
"Warhammer 40,000: Dawn of War II - Ultramarines Pack",2011-08-16,2 user reviews
Fallout New Vegas®: Lonesome Road™,2011-09-20,Very Positive
Puzzle Pirates,2011-08-31,Very Positive
The Baconing,2011-08-31,Mostly Positive
"Warhammer 40,000: Space Marine",2011-09-05,Very Positive
Men of War: Vietnam,2011-09-08,Mixed
Hard Reset Extended Edition,2012-07-12,Very Positive
Pride of Nations: The Franco-Prussian War 1870,2011-09-06,nan
Wasteland Angel,2011-09-01,Mixed
Rock of Ages,2011-09-07,Very Positive
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,2011-09-13,Very Positive
Call of Juarez®: The Cartel,2011-09-13,Mixed
Cities in Motion: German Cities,2011-09-14,nan
Magic: The Gathering 2012 - Expansion,2011-09-14,4 user reviews
Sengoku,2011-09-15,Mixed
Astro Tripper,2011-09-15,Mixed
Nancy Drew®: Shadow at the Water's Edge,2010-10-19,Mostly Positive
Two Worlds II - Pirates of the Flying Fortress,2011-09-20,Very Positive
Bunch of Heroes,2011-09-21,Mixed
Duke Nukem Forever: Hail to the Icons Parody Pack,2011-10-11,Mostly Positive
Might &amp; Magic: Heroes VI,2011-10-13,Mixed
Supreme Commander: Forged Alliance,2011-09-28,Overwhelmingly Positive
The Binding of Isaac,2011-09-28,Overwhelmingly Positive
Farming Simulator 2011 Equipment Pack 3,2011-09-29,1 user reviews
Off-Road Drive,2011-09-29,Mixed
Supreme Commander,2007-02-20,Very Positive
Fate of the World: Tipping Point,2011-09-29,Very Positive
Post Apocalyptic Mayhem: DLC - Chaos Pack,2011-09-29,Positive
Fate of the World: Denial,2011-09-29,1 user reviews
Fate of the World: Migration,2011-09-29,1 user reviews
Sniper: Ghost Warrior - Second Strike,2011-09-09,Positive
Air Conflicts: Secret Wars,2011-09-30,Mixed
Fate of the World: Extras Pack,2011-09-29,1 user reviews
Dead Rising 2: Off the Record,2011-10-11,Mostly Positive
The Baconing DLC - Roesha – One Bad Mutha Co-op Character,2011-10-11,2 user reviews
Disciples III - Resurrection,2011-10-11,Mostly Negative
Memoir '44 Online,2011-10-12,Mixed
Train Simulator: Amtrak Acela Express EMU Add-On,2011-10-13,Mixed
Costume Quest,2011-10-14,Overwhelmingly Positive
The Sims™ 3 Pets,2011-10-18,Very Positive
Gratuitous Space Battles: The Parasites,2011-10-17,3 user reviews
Serious Sam: The Random Encounter,2011-10-24,Mixed
Before the Echo,2011-10-20,Very Positive
Puzzler World 2,2011-10-24,Mostly Positive
Airline Tycoon 2,2011-10-24,Very Negative
ArcaniA: Fall of Setarrif,2011-10-24,Mostly Negative
The Haunted: Hells Reach,2011-10-24,Very Positive
Orcs Must Die! - Artifacts of Power,2011-10-25,Positive
Dungeon Siege III: Treasures of the Sun,2011-10-25,Positive
DC Universe™ Online,2011-11-02,Very Positive
Saints Row: The Third Initiation Station,2011-11-01,Mostly Positive
Tropico 4: Junta Military DLC,2011-11-03,Positive
Sonic Generations Collection,2011-11-03,Very Positive
Nancy Drew®: Alibi in Ashes,2011-11-02,Positive
Orcs Must Die! - Lost Adventures,2011-11-08,Positive
Call of Duty®: Modern Warfare® 3,2011-11-08,Very Positive
L.A. Noire,2011-11-08,Very Positive
L.A. Noire: DLC Bundle,2011-11-08,Very Positive
Men of War: Assault Squad - MP Supply Pack Charlie,2011-11-09,2 user reviews
Jamestown Soundtrack,2011-11-10,nan
"Jamestown: Gunpowder, Treason, &amp; Plot",2011-11-10,Positive
Dungeon Defenders Halloween Costume Pack,2011-11-11,9 user reviews
Dungeon Defenders Capture the Flag Pre-Alpha Pass (Free DLC),2011-11-11,Positive
Dungeon Defenders Halloween Mission Pack,2011-11-11,6 user reviews
Fractal: Make Blooms Not War,2011-11-29,Mostly Positive
Magicka: Horror Props Item Pack,2011-11-29,9 user reviews
SkyDrift,2011-11-21,Very Positive
Magicka: Holiday Spirit Item Pack,2011-11-29,Positive
Total War: SHOGUN 2 - The Hattori Clan Pack,2011-11-30,2 user reviews
Total War: Shogun 2 - Blood Pack DLC,2011-11-30,Positive
Magicka: The Stars Are Left,2011-11-29,Mostly Negative
Europa Universalis III: Reformation SpritePack,2011-11-30,3 user reviews
Europa Universalis III: Enlightenment SpritePack,2011-11-30,1 user reviews
Real Warfare 1242,2010-06-11,Mixed
Batman Arkham City: Nightwing Bundle,2011-12-01,2 user reviews
Galactic Civilizations® II: Ultimate Edition,2011-12-02,Mostly Positive
Train Simulator: West Coast Main Line North Route Add-On,2011-12-01,Mostly Positive
APB Reloaded,2011-12-06,Mixed
Blackwell Unbound,2012-01-13,Very Positive
Batman Arkham City: Robin Bundle,2011-12-01,2 user reviews
Men of War: Assault Squad - Skirmish Pack 2,2011-12-12,9 user reviews
Killing Floor - Steampunk Character Pack 2,2011-12-07,5 user reviews
Flatout 3: Chaos &amp; Destruction,2011-12-13,Overwhelmingly Negative
Assassin's Creed Revelations - The Ancestors Character Pack,2011-12-13,Mixed
Dungeon Defenders The Great Turkey Hunt! Mission &amp; Costumes,2011-12-13,8 user reviews
Tropico 4: Plantador DLC,2011-12-14,Positive
Earth Defense Force: Insect Armageddon,2011-12-14,Very Positive
Magic 2012 Deck Pack 2,2011-12-14,5 user reviews
"Warhammer 40,000: Space Marine - Golden Relic Chainsword",2011-12-15,9 user reviews
"Warhammer 40,000: Space Marine - Traitor Legions Pack",2011-12-15,7 user reviews
Dungeons of Dredmor: Realm of the Diggle Gods,2011-12-14,8 user reviews
"Warhammer 40,000: Space Marine - Emperor’s Elite Pack",2011-12-15,Positive
Pirates of Black Cove: Origins,2011-12-15,1 user reviews
"Warhammer 40,000: Space Marine - Golden Relic Bolter",2011-12-15,Mostly Positive
Sanctum: X-Mas Carnage (Free DLC),2011-12-15,7 user reviews
X3: Albion Prelude,2011-12-15,Very Positive
Trine 2: Complete Story,2013-06-06,Overwhelmingly Positive
Dungeon Defenders - Quest for the Lost Eternia Shards Part 1,2011-12-15,9 user reviews
Satazius Demo,2011-12-16,3 user reviews
Bunch of Heroes: Holiday Pack (Free DLC),2011-12-19,5 user reviews
SATAZIUS,2011-12-16,Very Positive
Fable - The Lost Chapters,2011-12-19,Very Positive
Renegade Ops - Reinforcement Pack,2011-12-19,4 user reviews
Crazy Machines 2: Happy New Year DLC,2011-12-19,1 user reviews
Dungeon Defenders - Etherian Holiday Extravaganza,2011-12-20,Mixed
Saints Row: The Third Warrior Pack,2011-12-20,Mixed
Renegade Ops - Coldstrike Campaign,2011-12-19,9 user reviews
"Warhammer 40,000: Space Marine - Alpha Legion Champion Armour Set",2011-12-20,8 user reviews
"Warhammer 40,000: Space Marine - Salamanders Veteran Armour Set",2011-12-20,6 user reviews
"Warhammer 40,000: Space Marine - Blood Angels Veteran Armour Set",2011-12-20,Positive
"Warhammer 40,000: Space Marine - Legion of the Damned Armour Set",2011-12-20,6 user reviews
"Warhammer 40,000: Space Marine - Chaos Unleashed Map Pack",2011-12-20,Mixed
Earth Defense Force Tactician Advanced Tech Package,2011-12-20,1 user reviews
Earth Defense Force Aerialist Munitions Package,2011-12-20,nan
Earth Defense Force Trooper Special Issue Enforcer Package,2011-12-20,nan
Batman Arkham City: Challenge Map Pack,2011-12-21,nan
Batman Arkham City: Arkham City Skins Pack,2011-12-21,3 user reviews
Earth Defense Force Battle Armor Weapon Chest,2011-12-20,nan
Oil Rush,2012-01-25,Mixed
Train Simulator: Woodhead Route Add-On,2012-01-26,Positive
King Arthur II: The Role-Playing Wargame,2012-01-27,Mixed
King Arthur II: Dead Legions,2012-01-27,5 user reviews
Serious Sam 2,2005-10-11,Very Positive
Fortune Summoners,2012-01-30,Very Positive
Star Trek Online,2010-02-02,Mostly Positive
Dungeon Defenders: Barbarian Hero DLC,2012-01-31,Positive
Dungeon Defenders: Assault Mission Pack,2012-01-31,Mostly Positive
Jagged Alliance - Back in Action,2012-02-08,Mixed
Pineapple Smash Crew,2012-02-02,Very Positive
Victoria II: A House Divided,2012-02-02,Positive
PixelJunk™ Eden,2012-02-02,Very Positive
Pixeljunk Eden Soundtrack,2012-02-02,nan
Snuggle Truck,2012-02-03,Very Positive
Titan Attacks!,2012-02-03,Very Positive
Dead Rising 2: Off the Record BBQ Chef Skills Pack,2012-02-06,Mostly Negative
Dead Rising 2: Off the Record COSPLAY Skills Pack,2012-02-06,Mostly Negative
Choplifter HD - Night Avenger Chopper,2012-02-14,nan
Crusader Kings II,2012-02-14,Very Positive
Crusader Kings II: Dynasty Shields,2012-02-14,Mostly Positive
Crusader Kings II: Mongol Faces,2012-02-14,Positive
Xotic DLC: Pipe Works Expansion Pack,2012-02-15,nan
Choplifter HD - Zombie Zombie Zombie,2012-02-14,3 user reviews
Alan Wake,2012-02-16,Very Positive
Train Simulator: Glasgow Airport Rail Link Route Add-On,2010-05-05,Mostly Negative
Magicka: Lonely Island Cruise,2012-02-16,7 user reviews
Postal III,2011-12-21,Mostly Negative
Starpoint Gemini,2012-02-16,Mostly Negative
Dustforce Soundtrack,2012-02-17,7 user reviews
Realm of the Mad God,2012-02-20,Very Positive
Hearts of Iron III: Dies Irae Stars &amp; Stripes Spritepack,2012-02-20,1 user reviews
Saints Row: The Third - Gangstas in Space,2012-02-21,Very Positive
Pickers,2012-02-22,Mostly Positive
1000 Amps,2012-02-22,Mostly Positive
Assassin's Creed® Revelations - The Lost Archive,2012-02-28,Mixed
Rayman® Origins,2012-03-29,Very Positive
Painkiller: Recurring Evil,2012-02-29,Mixed
Spiral Knights: Operation Crimson Hammer,2012-02-29,Positive
Train Simulator: DB Freight: 1970s Loco Add-On,2012-03-01,Mixed
Cities In Motion: Design Dreams,2012-02-29,nan
Vessel,2012-03-01,Very Positive
iBomber Defense Pacific,2012-03-01,Very Positive
Luxor Evolved,2012-03-01,Very Positive
Alan Wake Collector's Edition Extras,2012-03-02,Very Positive
The Sims™ 3 Showtime,2012-03-06,Mixed
Stacking,2012-03-06,Very Positive
Containment: The Zombie Puzzler,2012-03-02,Very Positive
Train Simulator: Cologne-Dusseldorf Route Add-On,2012-03-08,Mostly Negative
Train Simulator: South West Trains Class 444 EMU Add-On,2012-03-08,Positive
