title,release_date,metascore
Homefront,2011-03-14,70
Fate of the World,2011-02-28,70
B.U.T.T.O.N. (Brutally Unfair Tactics Totally OK Now),2011-02-28,nan
"Warhammer 40,000: Dawn of War II - Retribution - Tyranid Race Pack",2011-02-28,nan
"Warhammer 40,000: Dawn of War II - Retribution Ork Race Pack",2011-02-28,nan
"Warhammer 40,000: Dawn of War II - Retribution Imperial Guard Race Pack",2011-02-28,nan
"Warhammer 40,000: Dawn of War II - Retribution Eldar Race Pack",2011-02-28,nan
"Warhammer 40,000: Dawn of War II - Retribution Chaos Space Marines Race Pack",2011-02-28,nan
RIFT,2013-10-24,84
"Warhammer 40,000: Dawn of War II: Retribution",2011-02-28,nan
Dinner Date,2011-03-01,nan
"Warhammer 40,000: Dawn of War II - Retribution Space Marines Race Pack",2011-02-28,nan
Shadow Harvest: Phantom Ops,2011-04-05,34
Cities in Motion: Design Classics,2011-04-05,nan
Ship Simulator Extremes: Ferry Pack,2011-04-05,nan
"Warhammer 40,000: Dawn of War II: Retribution: Dark Angels Pack",2011-04-06,nan
STCC The Game 2 – Expansion Pack for RACE 07,2011-04-08,nan
Anomaly: Warzone Earth,2011-04-08,80
Armada 2526,2010-06-10,66
Darkest Hour: A Hearts of Iron Game,2011-04-08,81
Dungeons: Into the Dark DLC Pack,2011-04-11,nan
Dino D-Day,2011-04-08,53
Patrician IV: Rise of a Dynasty,2011-04-11,67
Portal 2,2011-04-18,95
Magicka: Vietnam,2011-04-12,nan
Sanctum,2011-04-15,70
Majesty 2 Collection,2011-04-19,nan
"Warhammer 40,000: Dawn of War II - Retribution - Mekboy Wargear DLC",2011-05-26,nan
Dawn of War II: Retribution – The Last Stand,2011-04-20,nan
"Warhammer 40,000: Dawn of War II - Retribution - Farseer Wargear DLC",2011-05-26,nan
Frozen Synapse,2011-05-26,85
"Warhammer 40,000: Dawn of War II: Retribution - Captain Wargear DLC",2011-05-26,nan
Winter Voices Episode 4: Amethyst Rivers,2011-05-27,nan
Hunted: The Demon’s Forge™,2011-05-30,61
Hamilton's Great Adventure,2011-05-31,77
The Sims™ 3 Generations,2011-05-31,70
Cities in Motion: Tokyo,2011-05-31,nan
Magicka: Nippon,2011-05-31,nan
Ghostbusters: Sanctum of Slime Challenge Pack DLC,2011-06-01,43
Still Life 2,2009-08-10,67
Still Life,2005-06-06,75
Call of Duty®: Black Ops Escalation Content Pack,2011-06-02,nan
Dungeon Siege III,2011-06-20,72
Duke Nukem Forever,2011-06-13,54
A.V.A. Alliance of Valiant Arms™,2011-06-14,nan
Champions Online,2009-09-01,72
Spiral Knights,2011-06-14,64
Spectromancer - Truth &amp; Beauty,2011-06-13,nan
Cities in Motion: Design Now,2011-06-14,nan
Two Worlds II Castle Defense,2011-06-14,nan
The Cat and the Coup,2011-06-15,nan
Magic: The Gathering - Duels of the Planeswalkers 2012,2011-06-15,77
Ancients of Ooga,2011-05-20,nan
Beat Hazard Ultra,2011-06-16,nan
Frozen Synapse: Soundtrack,2011-06-16,nan
Solar 2,2011-06-17,72
Ironclads: Schleswig War 1864,2011-06-21,nan
Ironclads: Anglo Russian War 1866,2011-06-21,nan
Magicka: Final Frontier,2011-06-21,nan
Ironclads: Chincha Islands War 1866,2011-06-21,nan
F.E.A.R. 3,2011-06-21,74
Magicka: Frozen Lake,2011-06-21,nan
Magicka: The Watchtower,2011-06-21,nan
Trainz Simulator DLC: The Duchess,2011-06-22,nan
Magicka: Party Robes,2011-06-21,nan
Europa Universalis III: Western - AD 1400 Spritepack,2011-06-23,nan
Dungeons and Dragons: Daggerdale,2011-06-24,nan
RETRO – Expansion Pack for RACE 07,2011-06-23,nan
Farming Simulator 2011 Equipment Pack 2,2011-06-24,nan
Europa Universalis III: Eastern - AD 1400 Spritepack,2011-06-23,nan
Hearts of Iron III: For the Motherland,2011-06-28,nan
Worms Reloaded: Puzzle Pack,2011-06-30,nan
Worms Reloaded: Retro Pack,2011-06-30,nan
Worms Reloaded: Time Attack Pack,2011-06-30,nan
Dungeons: Map Pack DLC,2011-07-01,nan
Worms Reloaded: Forts Pack,2011-06-30,nan
Puzzle Agent 2,2011-06-30,63
Killing Floor: Steampunk Character Pack,2011-07-02,nan
Pride of Nations: Spanish-American War 1898,2011-07-18,nan
Tobe's Vertical Adventure,2011-07-18,75
Fallout New Vegas: Old World Blues,2011-07-18,nan
"Warhammer 40,000: Dawn of War II: Retribution - Ulthwe Wargear DLC",2011-07-19,nan
IL-2 Sturmovik: Cliffs of Dover,2011-07-19,60
Lucid,2011-07-19,nan
Train Simulator: BR Class 421 '4CIG' Loco,2011-07-19,nan
Homefront: Express 870 Shotgun,2011-07-21,nan
Runespell: Overture,2011-07-20,69
Men of War: Assault Squad - Skirmish Pack,2011-07-21,nan
Aaaaa! - Brutal Concussion,2011-07-22,nan
Delve Deeper: Treasures and Tunnels,2011-07-22,nan
A.R.E.S.: Berzerker Suit,2011-07-22,nan
Cities in Motion: Metro Stations,2011-07-22,nan
Nancy Drew®: Secrets Can Kill REMASTERED,2010-08-24,nan
ARMA: Cold War Assault,2011-08-08,nan
SpaceChem: 63 Corvi,2011-07-22,nan
Tropico 4,2011-09-01,78
Nancy Drew®: The Captive Curse,2011-06-28,nan
Nancy Drew®: Trail of the Twister,2010-06-29,nan
The Clockwork Man,2011-08-10,nan
Pride of Nations: American Civil War 1862,2011-08-10,nan
EDGE,2011-08-11,74
Civilization V - Civ and Scenario Pack: Korea,2011-08-11,nan
Civilization V - Scenario Pack: Wonders of the Ancient World,2011-08-11,nan
Sanctum: Official Soundtrack,2011-08-12,nan
Hacker Evolution Duality,2011-08-15,nan
Space Pirates and Zombies,2011-08-15,74
Section 8: Prejudice Frontier Colonies Map Pack,2011-08-16,nan
Section 8: Prejudice Blitz Pack,2011-08-16,nan
Section 8: Prejudice Overdrive Map Pack,2011-08-16,nan
"Warhammer 40,000: Dawn of War II - Ultramarines Pack",2011-08-16,nan
Fallout New Vegas®: Lonesome Road™,2011-09-20,57
Puzzle Pirates,2011-08-31,nan
The Baconing,2011-08-31,63
"Warhammer 40,000: Space Marine",2011-09-05,74
Men of War: Vietnam,2011-09-08,68
Hard Reset Extended Edition,2012-07-12,73
Pride of Nations: The Franco-Prussian War 1870,2011-09-06,nan
Wasteland Angel,2011-09-01,nan
Rock of Ages,2011-09-07,74
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,2011-09-13,76
Call of Juarez®: The Cartel,2011-09-13,51
Cities in Motion: German Cities,2011-09-14,nan
Magic: The Gathering 2012 - Expansion,2011-09-14,nan
Sengoku,2011-09-15,70
Astro Tripper,2011-09-15,nan
Nancy Drew®: Shadow at the Water's Edge,2010-10-19,nan
Two Worlds II - Pirates of the Flying Fortress,2011-09-20,78
Bunch of Heroes,2011-09-21,nan
Duke Nukem Forever: Hail to the Icons Parody Pack,2011-10-11,nan
Might &amp; Magic: Heroes VI,2011-10-13,77
Supreme Commander: Forged Alliance,2011-09-28,81
The Binding of Isaac,2011-09-28,84
Farming Simulator 2011 Equipment Pack 3,2011-09-29,nan
Off-Road Drive,2011-09-29,60
Supreme Commander,2007-02-20,86
Fate of the World: Tipping Point,2011-09-29,70
Post Apocalyptic Mayhem: DLC - Chaos Pack,2011-09-29,nan
Fate of the World: Denial,2011-09-29,nan
Fate of the World: Migration,2011-09-29,nan
Sniper: Ghost Warrior - Second Strike,2011-09-09,55
Air Conflicts: Secret Wars,2011-09-30,65
Fate of the World: Extras Pack,2011-09-29,nan
Dead Rising 2: Off the Record,2011-10-11,66
The Baconing DLC - Roesha – One Bad Mutha Co-op Character,2011-10-11,nan
Disciples III - Resurrection,2011-10-11,63
Memoir '44 Online,2011-10-12,nan
Train Simulator: Amtrak Acela Express EMU Add-On,2011-10-13,nan
Costume Quest,2011-10-14,nan
The Sims™ 3 Pets,2011-10-18,79
Gratuitous Space Battles: The Parasites,2011-10-17,nan
Serious Sam: The Random Encounter,2011-10-24,64
Before the Echo,2011-10-20,70
Puzzler World 2,2011-10-24,nan
Airline Tycoon 2,2011-10-24,57
ArcaniA: Fall of Setarrif,2011-10-24,nan
The Haunted: Hells Reach,2011-10-24,51
Orcs Must Die! - Artifacts of Power,2011-10-25,nan
Dungeon Siege III: Treasures of the Sun,2011-10-25,nan
DC Universe™ Online,2011-11-02,72
Saints Row: The Third Initiation Station,2011-11-01,84
Tropico 4: Junta Military DLC,2011-11-03,nan
Sonic Generations Collection,2011-11-03,77
Nancy Drew®: Alibi in Ashes,2011-11-02,nan
Orcs Must Die! - Lost Adventures,2011-11-08,nan
Call of Duty®: Modern Warfare® 3,2011-11-08,nan
L.A. Noire,2011-11-08,83
L.A. Noire: DLC Bundle,2011-11-08,nan
Men of War: Assault Squad - MP Supply Pack Charlie,2011-11-09,nan
Jamestown Soundtrack,2011-11-10,nan
"Jamestown: Gunpowder, Treason, &amp; Plot",2011-11-10,nan
Dungeon Defenders Halloween Costume Pack,2011-11-11,nan
Dungeon Defenders Capture the Flag Pre-Alpha Pass (Free DLC),2011-11-11,nan
Dungeon Defenders Halloween Mission Pack,2011-11-11,nan
Fractal: Make Blooms Not War,2011-11-29,nan
Magicka: Horror Props Item Pack,2011-11-29,nan
SkyDrift,2011-11-21,73
Magicka: Holiday Spirit Item Pack,2011-11-29,nan
Total War: SHOGUN 2 - The Hattori Clan Pack,2011-11-30,nan
Total War: Shogun 2 - Blood Pack DLC,2011-11-30,nan
Magicka: The Stars Are Left,2011-11-29,nan
Europa Universalis III: Reformation SpritePack,2011-11-30,nan
Europa Universalis III: Enlightenment SpritePack,2011-11-30,nan
Real Warfare 1242,2010-06-11,nan
Batman Arkham City: Nightwing Bundle,2011-12-01,nan
Galactic Civilizations® II: Ultimate Edition,2011-12-02,92
Train Simulator: West Coast Main Line North Route Add-On,2011-12-01,nan
APB Reloaded,2011-12-06,nan
Blackwell Unbound,2012-01-13,nan
Batman Arkham City: Robin Bundle,2011-12-01,nan
Men of War: Assault Squad - Skirmish Pack 2,2011-12-12,nan
Killing Floor - Steampunk Character Pack 2,2011-12-07,nan
Flatout 3: Chaos &amp; Destruction,2011-12-13,nan
Assassin's Creed Revelations - The Ancestors Character Pack,2011-12-13,nan
Dungeon Defenders The Great Turkey Hunt! Mission &amp; Costumes,2011-12-13,nan
Tropico 4: Plantador DLC,2011-12-14,nan
Earth Defense Force: Insect Armageddon,2011-12-14,69
Magic 2012 Deck Pack 2,2011-12-14,nan
"Warhammer 40,000: Space Marine - Golden Relic Chainsword",2011-12-15,nan
"Warhammer 40,000: Space Marine - Traitor Legions Pack",2011-12-15,nan
Dungeons of Dredmor: Realm of the Diggle Gods,2011-12-14,nan
"Warhammer 40,000: Space Marine - Emperor’s Elite Pack",2011-12-15,nan
Pirates of Black Cove: Origins,2011-12-15,nan
"Warhammer 40,000: Space Marine - Golden Relic Bolter",2011-12-15,nan
Sanctum: X-Mas Carnage (Free DLC),2011-12-15,nan
X3: Albion Prelude,2011-12-15,75
Trine 2: Complete Story,2013-06-06,84
Dungeon Defenders - Quest for the Lost Eternia Shards Part 1,2011-12-15,nan
Satazius Demo,2011-12-16,nan
Bunch of Heroes: Holiday Pack (Free DLC),2011-12-19,nan
SATAZIUS,2011-12-16,nan
Fable - The Lost Chapters,2011-12-19,83
Renegade Ops - Reinforcement Pack,2011-12-19,nan
Crazy Machines 2: Happy New Year DLC,2011-12-19,nan
Dungeon Defenders - Etherian Holiday Extravaganza,2011-12-20,nan
Saints Row: The Third Warrior Pack,2011-12-20,nan
Renegade Ops - Coldstrike Campaign,2011-12-19,nan
"Warhammer 40,000: Space Marine - Alpha Legion Champion Armour Set",2011-12-20,nan
"Warhammer 40,000: Space Marine - Salamanders Veteran Armour Set",2011-12-20,nan
"Warhammer 40,000: Space Marine - Blood Angels Veteran Armour Set",2011-12-20,nan
"Warhammer 40,000: Space Marine - Legion of the Damned Armour Set",2011-12-20,nan
"Warhammer 40,000: Space Marine - Chaos Unleashed Map Pack",2011-12-20,nan
Earth Defense Force Tactician Advanced Tech Package,2011-12-20,nan
Earth Defense Force Aerialist Munitions Package,2011-12-20,nan
Earth Defense Force Trooper Special Issue Enforcer Package,2011-12-20,nan
Batman Arkham City: Challenge Map Pack,2011-12-21,nan
Batman Arkham City: Arkham City Skins Pack,2011-12-21,nan
Earth Defense Force Battle Armor Weapon Chest,2011-12-20,nan
Oil Rush,2012-01-25,67
Train Simulator: Woodhead Route Add-On,2012-01-26,nan
King Arthur II: The Role-Playing Wargame,2012-01-27,66
King Arthur II: Dead Legions,2012-01-27,nan
Serious Sam 2,2005-10-11,74
Fortune Summoners,2012-01-30,nan
Star Trek Online,2010-02-02,76
Dungeon Defenders: Barbarian Hero DLC,2012-01-31,nan
Dungeon Defenders: Assault Mission Pack,2012-01-31,nan
Jagged Alliance - Back in Action,2012-02-08,62
Pineapple Smash Crew,2012-02-02,62
Victoria II: A House Divided,2012-02-02,76
PixelJunk™ Eden,2012-02-02,81
Pixeljunk Eden Soundtrack,2012-02-02,nan
Snuggle Truck,2012-02-03,nan
Titan Attacks!,2012-02-03,nan
Dead Rising 2: Off the Record BBQ Chef Skills Pack,2012-02-06,nan
Dead Rising 2: Off the Record COSPLAY Skills Pack,2012-02-06,nan
Choplifter HD - Night Avenger Chopper,2012-02-14,nan
Crusader Kings II,2012-02-14,82
Crusader Kings II: Dynasty Shields,2012-02-14,nan
Crusader Kings II: Mongol Faces,2012-02-14,nan
Xotic DLC: Pipe Works Expansion Pack,2012-02-15,nan
Choplifter HD - Zombie Zombie Zombie,2012-02-14,nan
Alan Wake,2012-02-16,83
Train Simulator: Glasgow Airport Rail Link Route Add-On,2010-05-05,nan
Magicka: Lonely Island Cruise,2012-02-16,nan
Postal III,2011-12-21,24
Starpoint Gemini,2012-02-16,46
Dustforce Soundtrack,2012-02-17,nan
Realm of the Mad God,2012-02-20,82
Hearts of Iron III: Dies Irae Stars &amp; Stripes Spritepack,2012-02-20,nan
Saints Row: The Third - Gangstas in Space,2012-02-21,nan
Pickers,2012-02-22,nan
1000 Amps,2012-02-22,nan
Assassin's Creed® Revelations - The Lost Archive,2012-02-28,nan
Rayman® Origins,2012-03-29,86
Painkiller: Recurring Evil,2012-02-29,38
Spiral Knights: Operation Crimson Hammer,2012-02-29,nan
Train Simulator: DB Freight: 1970s Loco Add-On,2012-03-01,nan
Cities In Motion: Design Dreams,2012-02-29,nan
Vessel,2012-03-01,81
iBomber Defense Pacific,2012-03-01,nan
Luxor Evolved,2012-03-01,nan
Alan Wake Collector's Edition Extras,2012-03-02,nan
The Sims™ 3 Showtime,2012-03-06,nan
Stacking,2012-03-06,80
Containment: The Zombie Puzzler,2012-03-02,nan
Train Simulator: Cologne-Dusseldorf Route Add-On,2012-03-08,nan
Train Simulator: South West Trains Class 444 EMU Add-On,2012-03-08,nan
Wizorb,2012-03-14,81
Defenders of Ardania,2012-03-14,58
Jane's Advanced Strike Fighters,2012-03-08,nan
Bumbledore,2012-03-15,nan
Dungeon Defenders - President's Day Surprise,2012-03-15,nan
ToeJam &amp; Earl in Panic on Funkotron,2012-03-14,nan
Dungeon Defenders - Quest for the Lost Eternia Shards Part 2,2012-03-15,nan
Cubemen,2012-03-16,74
Myst V,2012-03-16,80
Dungeon Defenders Lucky Costume Pack,2012-03-16,nan
Space Ark,2012-03-16,nan
Ys: The Oath in Felghana,2012-03-19,73
Take On Helicopters: Hinds,2012-03-20,nan
Waveform,2012-03-20,81
Saints Row: The Third - The Trouble with Clones DLC,2012-03-20,nan
Mutant Storm: Reloaded,2012-03-21,nan
Warp,2012-03-21,nan
Kingdoms of Amalur: Reckoning - Legend of Dead Kel,2012-03-20,nan
Total War: Shogun 2 - Fall of the Samurai,2012-03-22,86
Yesterday,2012-03-22,nan
Fowl Space,2012-03-21,nan
Crazy Machines Elements DLC - Collision Course &amp; Mental Activity,2012-03-23,nan
Midnight Mysteries 3: Devil on the Mississippi,2012-03-28,nan
Midnight Mysteries 4: Haunted Houdini,2012-03-28,nan
Tropico 4: Modern Times,2012-03-29,78
3SwitcheD,2012-03-29,nan
Train Simulator: Freightliner Class 70 Loco Add-On,2012-03-29,nan
Dungeon Defenders: Series EV Hero DLC,2012-03-29,nan
Ridge Racer™ Unbounded,2012-03-29,72
Hegemony Gold: Wars of Ancient Greece,2012-03-30,nan
Confrontation,2012-04-04,51
Train Simulator: Settle to Carlisle Route Add-on,2012-04-05,nan
"Hack, Slash, Loot",2012-04-05,nan
Dungeon Defenders: Penny Arcade Character Pack,2012-04-05,nan
The White Laboratory Demo,2012-04-06,nan
Atooms to Moolecules Demo,2012-04-06,nan
Imagine Earth,2014-05-20,nan
Scary Girl,2012-04-09,nan
Airline Tycoon 2: Honey Airlines DLC,2012-04-19,nan
Risen 2: Dark Waters,2012-04-26,69
Dungeon Defenders: Quest for the Lost Eternia Shards Part 3,2012-04-26,nan
Risen 2: Dark Waters - A Pirate's Clothes DLC,2012-04-27,nan
Risen 2: Dark Waters - Treasure Isle DLC,2012-04-27,nan
Binary Domain,2012-04-27,68
Analogue: A Hate Story,2012-04-27,62
Toy Soldiers,2012-04-27,71
Analogue: A Hate Story Soundtrack,2012-04-30,nan
Total War: SHOGUN 2 - Dragon War Battle Pack,2012-05-01,nan
Saints Row: The Third - Steelport Gangs Pack,2012-05-01,nan
Phantasy Star III: Generations of Doom,2012-05-02,nan
Phantasy Star II,2012-05-02,nan
The Revenge of Shinobi,2012-05-02,nan
Streets of Rage 3,2012-05-02,nan
Phantasy Star IV: The End of the Millennium,2012-05-02,nan
VectorMan 2,2012-05-02,nan
Sanctum: Yogscave (Free DLC),2012-05-03,nan
Train Simulator: Settle Carlisle Specials Add-On,2012-05-03,nan
Ticket to Ride - USA 1910,2012-05-24,nan
Wonder Boy in Monster World,2012-05-02,nan
Cities in Motion: Paris,2012-05-15,nan
Jagged Alliance - Back in Action: Shades of Red DLC,2012-05-15,nan
Serious Sam HD: The Second Encounter,2010-04-28,76
Serious Sam HD: The Second Encounter - Legend of the Beast DLC,2012-05-15,nan
Nancy Drew®: Tomb of the Lost Queen,2012-05-16,nan
Dead Hungry Diner,2012-05-16,nan
Train Simulator: BR Class 423 ‘4VEP’ EMU Add-On,2012-05-17,nan
Train Simulator: Portsmouth Direct Line Route Add-On,2012-05-17,nan
Resident Evil: Operation Raccoon City,2012-05-18,48
Alien Shooter 2 Conscription,2012-05-18,nan
Gratuitous Tank Battles,2012-05-17,69
Farming Simulator Farming Classics Pack 4,2012-05-18,nan
Ticket to Ride - Europe,2012-05-24,nan
Ticket to Ride,2012-05-24,nan
Train Simulator: DB BR143 Loco Add-On,2012-05-24,nan
Train Simulator: Class 67 Diamond Jubilee Loco Add-On,2012-05-31,nan
Ys Origin,2012-05-31,76
Dungeon Defenders: Talay Mining Complex Mission Pack,2012-05-31,nan
Max Payne 3 Rockstar Pass,2012-05-31,nan
Max Payne 3,2012-05-31,87
Binary Domain - Multiplayer Map Pack,2012-06-01,nan
Binary Domain - Dan Marshall Pack,2012-06-01,nan
Waveform: Eris,2012-06-04,nan
Dungeons of Dredmor: You Have To Name The Expansion Pack,2012-06-05,nan
The Lord of the Rings Online™,2012-06-06,86
Splice,2012-06-13,70
Indie Game: The Movie,2012-06-12,nan
Krater,2012-06-12,52
LEGO® Batman 2 DC Super Heroes™,2012-06-22,nan
Quantum Conundrum: The Desmond Debacle,2012-06-21,nan
Vindictus,2012-06-22,76
Sniper Elite V2 - Kill Hitler + 2 Rifles,2012-06-06,nan
Call of Duty®: Modern Warfare® 3 Collection 2,2012-06-21,nan
Penny Arcade's On the Rain-Slick Precipice of Darkness 3,2012-06-25,nan
The Dark Eye: Chains of Satinav,2012-06-22,75
Dungeons &amp; Dragons Online® Menace of the Underdark™,2012-06-25,nan
Dungeons &amp; Dragons Online®,2012-06-25,nan
Tom Clancy's Ghost Recon: Future Soldier™,2012-06-26,71
Crusader Kings II: Songs of the Caliph,2012-06-26,nan
Expansion - Crusader Kings II: Sword of Islam,2012-06-26,nan
Quantum Conundrum,2012-06-21,77
Tribes: Ascend,2012-06-27,86
Killing Floor - Harold Lott Character Pack,2012-07-05,nan
Divine Divinity,2002-09-20,81
Crusader Kings II: African Unit Pack,2012-06-26,nan
Xotic DLC: Warp Field Expansion Pack,2012-07-06,nan
Foreign Legion: Multi Massacre,2012-07-09,nan
Dungeon Defenders  - Quest for the Lost Eternia Shards Part 4,2012-07-10,nan
Source Filmmaker,2012-07-10,nan
Magic 2013 “Goblin Gangland” Deck Key,2012-07-11,nan
Magic 2013 “Pack Instinct” Deck Key,2012-07-11,nan
Street Fighter X Tekken: Hugo (Swap Costume),2012-07-20,nan
Magic 2013 “Obedient Dead” Foil Conversion,2012-07-11,nan
Magic 2013 “Goblin Gangland” Foil Conversion,2012-07-11,nan
Hard Reset: Exile DLC,2012-07-11,nan
Spiral Knights: Guardians Armor Pack,2012-07-12,nan
Street Fighter X Tekken: Law (Swap Costume),2012-07-20,nan
Street Fighter X Tekken: King (Swap Costume),2012-07-20,nan
Street Fighter X Tekken: Julia (Swap Costume),2012-07-24,nan
Street Fighter X Tekken: Paul (Swap Costume),2012-07-20,nan
Might &amp; Magic: Heroes VI - Pirates of the Savage Sea Adventure Pack,2012-07-12,nan
Street Fighter X Tekken: Ibuki (Swap Costume),2012-07-20,nan
Street Fighter X Tekken: Rolento (Swap Costume),2012-07-20,nan
Street Fighter X Tekken: Sagat (Swap Costume),2012-07-20,nan
Street Fighter X Tekken: Dhalsim (Swap Costume),2012-07-20,nan
Street Fighter X Tekken: Abel (Swap Costume),2012-07-20,nan
Street Fighter X Tekken: Lili (Swap Costume),2012-07-20,nan
Street Fighter X Tekken: Zangief (Swap Costume),2012-07-20,nan
Street Fighter X Tekken: Raven (Swap Costume),2012-07-24,nan
Street Fighter X Tekken: Yoshimitsu (Swap Costume),2012-07-24,nan
Street Fighter X Tekken: Jin (Swap Costume),2012-07-24,nan
Street Fighter X Tekken: Ogre (Swap Costume),2012-07-24,nan
Street Fighter X Tekken: Xiaoyu (Swap Costume),2012-07-24,nan
Street Fighter X Tekken: Tekken Swap Costume Complete Pack,2012-07-24,nan
Street Fighter X Tekken: Street Fighter/Tekken Shared Assist Gem Pack 1,2012-07-24,nan
Street Fighter X Tekken: Street Fighter/Tekken Shared Assist Gem Pack 2,2012-07-24,nan
MDK2 HD,2012-07-30,73
Shatter: Official Videogame Soundtrack,2012-07-30,nan
The Book of Unwritten Tales Digital Extras,2012-07-30,nan
Hearts of Iron III: US Infantry Sprite Pack,2012-07-31,nan
The Book of Unwritten Tales,2012-07-31,82
Victoria II: A House Divided - American Civil War Spritepack,2012-07-31,nan
Street Fighter X Tekken: Street Fighter Swap Costume Complete Pack,2012-07-24,nan
A Virus Named TOM,2012-08-01,65
eXceed 2nd - Vampire REX,2012-08-02,nan
A Virus Named TOM Soundtrack,2012-08-01,nan
eXceed 3rd - Jade Penetrate Black Package,2012-08-02,nan
Ticket to Ride - Legendary Asia,2012-08-02,nan
Death Rally,2012-08-03,nan
Train Simulator: CN SD40-2 Wide Nose Loco Add-On,2012-08-03,nan
Sleeping Dogs: The Red Envelope Pack,2012-08-21,nan
Train Simulator: SD70 V2 Volume 2 Loco Add-On,2012-08-03,nan
Killing Floor - Ash Harding Character Pack,2012-08-10,nan
Hero Academy,2012-08-10,75
Train Simulator: DB ICE 3 EMU Add-On,2012-08-09,nan
Iron Brigade,2012-08-13,75
Sleeping Dogs: Top Dog Silver Pack,2012-08-13,nan
