title,release_date,genres
Puzzle Quest 2,2010-08-12,"['RPG', 'Casual']"
Burn Zombie Burn!,2010-08-12,['Action']
Madballs B*D*I Clan Skins,2010-08-16,['Indie']
Madballs Scorched Evolution Skin Rollup,2010-08-16,['Indie']
Madballs BDI Evolution Skin Rollup,2010-08-16,['Indie']
Madballs Holiday Skin Rollup,2010-08-16,['Indie']
Victoria I Complete,2010-08-20,['Strategy']
Ship Simulator Extremes,2010-08-27,['Simulation']
Worms Reloaded,2010-08-26,['Strategy']
Making History II: The War of the World,2010-06-22,"['Indie', 'Simulation', 'Strategy']"
Arma 2: British Armed Forces,2010-08-27,"['Action', 'Simulation', 'Strategy']"
Victoria II,2010-08-30,['Strategy']
Booster Trooper Demo,2010-08-31,nan
Madballs Scorched Clan Skins,2010-08-16,['Indie']
Kane &amp; Lynch 2: The Doggie Bag,2010-08-31,['Action']
Kane &amp; Lynch 2: Multiplayer Masks Pack,2010-08-31,['Action']
Trainz: Classic Cabon City,2010-09-01,['Simulation']
Kane &amp; Lynch 2: Alliance Weapon Pack,2010-08-31,['Action']
Cossacks: Back to War,2002-11-01,['Strategy']
Broken Sword: Director's Cut,2010-09-02,['Adventure']
Chime,2010-09-06,['Casual']
Mafia II DLC: Jimmy's Vendetta,2010-09-06,['Action']
Sniper: Ghost Warrior - Map Pack,2010-09-08,['Action']
VVVVVV,2010-09-07,"['Action', 'Indie']"
The Settlers 7: Conquest - The Empire Expansion DLC,2010-09-08,['Strategy']
Amnesia: The Dark Descent,2010-09-08,"['Action', 'Adventure', 'Indie']"
Recettear: An Item Shop's Tale,2010-09-10,"['RPG', 'Indie']"
Swarm Arena,2010-08-19,"['Action', 'Casual', 'Indie']"
Super Thunder Blade™,2010-09-13,"['Action', 'Simulation']"
Galaxy Force II™,2010-09-13,['Action']
Hacker Evolution,2010-09-14,['Simulation']
Hacker Evolution: Untold,2010-09-14,"['Indie', 'Simulation']"
Faerie Solitaire,2010-09-17,"['Casual', 'Indie']"
Patrician IV - Steam Special Edition,2010-09-17,['Strategy']
Bonanza Bros.™,2010-09-13,['Action']
King's Bounty: Crossworlds,2010-09-17,"['RPG', 'Strategy']"
Train Simulator: Green &amp; Gold HST DMU Add-On,2010-09-17,['Simulation']
Sid Meier's Civilization® V,2010-09-21,['Strategy']
Commander: Conquest of the Americas - Colonial Navy,2010-09-21,['Strategy']
Serious Sam Classic: The Second Encounter,2002-02-05,"['Action', 'Indie']"
Star Ruler,2010-09-20,"['Indie', 'Strategy']"
Blade Kitten,2010-09-22,"['Action', 'Adventure']"
Alien Breed 2: Assault,2010-09-22,['Action']
Serious Sam HD: Gold Edition,2010-09-23,['Action']
Darksiders™,2010-09-23,"['Action', 'Adventure']"
X: Beyond the Frontier,1999-07-01,"['Simulation', 'Strategy']"
The Kings' Crusade,2010-10-08,['Strategy']
Guild Wars: Eye of the North®,2007-08-31,"['Action', 'RPG', 'Massively Multiplayer']"
X: Tension,2000-06-01,"['Simulation', 'Strategy']"
Age of Wonders II: The Wizard's Throne,Oct 2010,"['RPG', 'Strategy']"
Governor of Poker 2,2010-10-11,"['Adventure', 'Casual', 'Simulation']"
Governor of Poker 2 - Premium Edition,2010-10-11,"['Adventure', 'Casual', 'Indie', 'Simulation']"
Age of Wonders Shadow Magic,Oct 2010,"['RPG', 'Strategy']"
Age of Wonders,Oct 2010,"['RPG', 'Strategy']"
Medal of Honor™,2010-10-12,['Action']
Grotesque Tactics: Evil Heroes,2010-10-15,"['Indie', 'RPG', 'Strategy']"
Lost Planet® 2,2010-10-15,"['Action', 'Adventure']"
Doc Clock: The Toasted Sandwich of Time,2010-10-15,"['Adventure', 'Casual', 'Indie']"
Fallout: New Vegas,2010-10-19,"['Action', 'RPG']"
The Polynomial - Space of the music,2010-10-15,"['Action', 'Casual', 'Indie']"
Puzzle Bots,2010-10-22,"['Adventure', 'Indie']"
Nimbus,2010-10-25,"['Indie', 'Racing']"
Civilization V - Babylon (Nebuchadnezzar II),2010-10-25,['Strategy']
DeathSpank,2010-10-25,"['Action', 'Indie', 'RPG']"
Virtua Fighter™ 2,2010-10-26,"['Action', 'Simulation']"
Columns™ III,2010-10-26,['Casual']
Sword of Vermilion™,2010-10-26,['RPG']
Golden Axe™ II,2010-10-26,['Action']
Sonic The Hedgehog,2010-10-26,"['Action', 'Adventure']"
Flicky™,2010-10-26,nan
ESWAT™: City Under Siege,2010-10-26,nan
Ecco™: The Tides of Time,2010-10-26,['Adventure']
Decap Attack™,2010-10-26,nan
Bio-Hazard Battle™,2010-10-26,['Action']
Alien Storm,2010-10-26,['Action']
Shank,2010-10-25,"['Action', 'Indie']"
The Ball,2010-10-26,"['Action', 'Adventure', 'Indie']"
STAR WARS™: The Force Unleashed™ II,2010-10-26,['Action']
Flight Control HD,2010-11-18,"['Action', 'Casual']"
Patrician III,2010-11-18,"['RPG', 'Simulation', 'Strategy']"
BIT.TRIP BEAT,2010-11-02,"['Action', 'Casual', 'Indie']"
Theatre of War 2 - Battle for Caen,2010-11-02,"['Simulation', 'Strategy']"
Woody Two-Legs: Attack of the Zombie Pirates,2010-11-02,['Casual']
Clones,2010-11-18,"['Adventure', 'Indie']"
Victoria II: Interwar Spritepack,2010-11-02,['Strategy']
Front Mission Evolved: Wanzer Pack 2,2010-11-02,['Action']
Pound of Ground,2010-11-05,['Action']
Pat &amp; Mat,2009-10-01,['Casual']
Alternativa,2010-11-03,['Adventure']
Fish Fillets 2,2007-04-05,"['Casual', 'Indie']"
Archon Classic,2010-11-02,"['Strategy', 'Indie']"
Call of Duty®: Black Ops,2010-11-09,['Action']
Rhythm Zone Tornado Visualizer DLC,2010-11-09,"['Indie', 'Casual']"
Arcadia,2010-12-02,"['Casual', 'Indie']"
Oddworld: Munch's Oddysee,2010-12-20,"['Action', 'Adventure', 'Strategy']"
Rhythm Zone DJ Table Visualizer DLC,2010-11-09,"['Indie', 'Casual']"
Oddworld: Stranger's Wrath HD,2010-12-20,"['Action', 'Adventure', 'Strategy']"
Clickr,2010-12-23,"['Casual', 'Indie']"
Back to the Future: The Game,2010-12-23,['Adventure']
Grand Theft Auto III,2002-05-21,['Action']
Grand Theft Auto: San Andreas,2005-06-06,['Action']
Lara Croft GoL: Raziel and Kain Character Pack,2011-01-07,"['Action', 'Adventure']"
Lara Croft GoL: Things that Go Boom - Challenge Pack 2,2011-01-07,"['Action', 'Adventure']"
Lara Croft GoL: Hazardous Reunion - Challenge Pack 3,2011-01-07,"['Action', 'Adventure']"
Lara Croft GoL: All the Trappings - Challenge Pack 1,2011-01-07,"['Action', 'Adventure']"
Grand Theft Auto: Vice City,2003-05-13,['Action']
Zeit²,2011-01-12,"['Action', 'Indie']"
A.R.E.S.: Extinction Agenda,2011-01-20,"['Action', 'Indie']"
APOX,2011-01-20,"['Action', 'Indie', 'Strategy']"
Dead Space™ 2,2011-01-25,['Action']
Drawn®: The Painted Tower,2011-01-19,"['Adventure', 'Casual']"
Kaptain Brawe: A Brawe New World,2011-01-20,['Adventure']
Wonder Boy III: Monster Lair,2011-01-26,nan
Monday Night Combat,2011-01-24,"['Action', 'Strategy', 'Indie', 'Sports']"
Luxor: 5th Passage,2011-01-25,"['Action', 'Adventure', 'Casual']"
Alien Soldier,2011-01-26,['Action']
Shining in the Darkness,2011-01-26,['RPG']
Light Crusader,2011-01-26,['RPG']
Landstalker: The Treasures of King Nole,2011-01-26,['RPG']
Gunstar Heroes,2011-01-26,['Action']
ToeJam &amp; Earl,2011-01-26,['Adventure']
Streets of Rage 2,2011-01-26,['Action']
Sonic The Hedgehog 2,2011-01-26,"['Action', 'Adventure']"
Streets of Rage,2011-01-26,['Action']
Sonic 3 &amp;  Knuckles,2011-01-26,nan
Shining Force II,2011-01-26,['RPG']
Shining Force,2011-01-26,['RPG']
The Sims™ 3,2009-06-02,['Simulation']
Ship Simulator Extremes: Sigita Pack,2011-01-26,['Simulation']
The Sims™ 3 Fast Lane Stuff,2010-09-07,['Simulation']
The Sims™ 3 World Adventures,2009-11-17,['Simulation']
The Sims™ 3 Late Night,2010-10-26,['Simulation']
The Sims™ 3 Ambitions,2010-06-02,['Simulation']
The Sims™ 3 High-End Loft Stuff,2010-02-02,['Simulation']
Trino,2011-01-27,"['Casual', 'Indie']"
Mishap 2: An Intentional Haunting - Collector's Edition,2011-01-28,['Casual']
The Sims™ 3 Outdoor Living Stuff,2011-02-01,['Simulation']
Who's That Flying?!,2011-01-31,"['Action', 'Casual', 'Indie']"
Myst: Masterpiece Edition,2011-02-02,"['Adventure', 'Casual']"
Guardians of Graxia: Elves &amp; Dwarves,2011-02-01,['Strategy']
Two Worlds II HD,2011-02-03,['RPG']
YOU DON’T KNOW JACK®,2011-02-08,['Casual']
Test Drive Unlimited 2,Feb 2011,['Racing']
King Arthur: The Druids,2011-02-03,['RPG']
Gratuitous Space Battles: Galactic Conquest,2011-02-11,"['Strategy', 'Indie', 'Simulation']"
The Kings' Crusade: New Allies,2011-02-09,['Strategy']
DUNGEONS - Steam Special Edition,2011-02-10,"['RPG', 'Strategy']"
AI War: Light of the Spire,2011-02-14,"['Indie', 'Strategy']"
Drakensang: The River of Time,2011-01-11,['RPG']
RISK™: Factions,2011-03-08,['Strategy']
Crazy Machines 2: Time Travel Add-On,2011-03-11,"['Casual', 'Strategy']"
BIT.TRIP RUNNER,2011-02-28,"['Action', 'Indie']"
Homefront,2011-03-14,['Action']
Fate of the World,2011-02-28,"['Casual', 'Indie', 'Simulation', 'Strategy']"
B.U.T.T.O.N. (Brutally Unfair Tactics Totally OK Now),2011-02-28,['Indie']
"Warhammer 40,000: Dawn of War II - Retribution - Tyranid Race Pack",2011-02-28,nan
"Warhammer 40,000: Dawn of War II - Retribution Ork Race Pack",2011-02-28,['Strategy']
"Warhammer 40,000: Dawn of War II - Retribution Imperial Guard Race Pack",2011-02-28,['Strategy']
"Warhammer 40,000: Dawn of War II - Retribution Eldar Race Pack",2011-02-28,['Strategy']
"Warhammer 40,000: Dawn of War II - Retribution Chaos Space Marines Race Pack",2011-02-28,['Strategy']
RIFT,2013-10-24,"['Free to Play', 'Massively Multiplayer', 'RPG']"
"Warhammer 40,000: Dawn of War II: Retribution",2011-02-28,['Strategy']
Dinner Date,2011-03-01,"['Indie', 'Casual']"
"Warhammer 40,000: Dawn of War II - Retribution Space Marines Race Pack",2011-02-28,['Strategy']
Shadow Harvest: Phantom Ops,2011-04-05,['Action']
Cities in Motion: Design Classics,2011-04-05,['Simulation']
Ship Simulator Extremes: Ferry Pack,2011-04-05,['Simulation']
"Warhammer 40,000: Dawn of War II: Retribution: Dark Angels Pack",2011-04-06,['Strategy']
STCC The Game 2 – Expansion Pack for RACE 07,2011-04-08,['Racing']
Anomaly: Warzone Earth,2011-04-08,"['Action', 'Indie', 'Strategy']"
Armada 2526,2010-06-10,['Strategy']
Darkest Hour: A Hearts of Iron Game,2011-04-08,['Strategy']
Dungeons: Into the Dark DLC Pack,2011-04-11,"['Strategy', 'RPG']"
Dino D-Day,2011-04-08,"['Action', 'Indie']"
Patrician IV: Rise of a Dynasty,2011-04-11,['Strategy']
Portal 2,2011-04-18,"['Action', 'Adventure']"
Magicka: Vietnam,2011-04-12,"['Action', 'RPG']"
Sanctum,2011-04-15,"['Action', 'Casual', 'Indie', 'Strategy']"
Majesty 2 Collection,2011-04-19,['Strategy']
"Warhammer 40,000: Dawn of War II - Retribution - Mekboy Wargear DLC",2011-05-26,['Strategy']
Dawn of War II: Retribution – The Last Stand,2011-04-20,['Strategy']
"Warhammer 40,000: Dawn of War II - Retribution - Farseer Wargear DLC",2011-05-26,['Strategy']
Frozen Synapse,2011-05-26,"['Indie', 'Strategy']"
"Warhammer 40,000: Dawn of War II: Retribution - Captain Wargear DLC",2011-05-26,['Strategy']
Winter Voices Episode 4: Amethyst Rivers,2011-05-27,"['Adventure', 'Indie', 'RPG']"
Hunted: The Demon’s Forge™,2011-05-30,"['Action', 'Adventure']"
Hamilton's Great Adventure,2011-05-31,"['Adventure', 'Casual', 'Indie']"
The Sims™ 3 Generations,2011-05-31,['Simulation']
Cities in Motion: Tokyo,2011-05-31,['Simulation']
Magicka: Nippon,2011-05-31,"['Action', 'RPG']"
Ghostbusters: Sanctum of Slime Challenge Pack DLC,2011-06-01,"['Action', 'Adventure']"
Still Life 2,2009-08-10,['Adventure']
Still Life,2005-06-06,['Adventure']
Call of Duty®: Black Ops Escalation Content Pack,2011-06-02,['Action']
Dungeon Siege III,2011-06-20,"['Action', 'RPG']"
Duke Nukem Forever,2011-06-13,['Action']
A.V.A. Alliance of Valiant Arms™,2011-06-14,"['Action', 'Free to Play']"
Champions Online,2009-09-01,"['Free to Play', 'Massively Multiplayer', 'RPG']"
Spiral Knights,2011-06-14,"['Action', 'Adventure', 'Free to Play', 'Indie', 'Massively Multiplayer', 'RPG']"
Spectromancer - Truth &amp; Beauty,2011-06-13,['Strategy']
Cities in Motion: Design Now,2011-06-14,['Simulation']
Two Worlds II Castle Defense,2011-06-14,['Strategy']
The Cat and the Coup,2011-06-15,['Indie']
Magic: The Gathering - Duels of the Planeswalkers 2012,2011-06-15,['Strategy']
Ancients of Ooga,2011-05-20,"['Indie', 'Casual']"
Beat Hazard Ultra,2011-06-16,"['Action', 'Casual', 'Indie']"
Frozen Synapse: Soundtrack,2011-06-16,"['Strategy', 'Indie']"
Solar 2,2011-06-17,"['Indie', 'Casual']"
Ironclads: Schleswig War 1864,2011-06-21,['Strategy']
Ironclads: Anglo Russian War 1866,2011-06-21,['Strategy']
Magicka: Final Frontier,2011-06-21,"['Action', 'RPG']"
Ironclads: Chincha Islands War 1866,2011-06-21,['Strategy']
F.E.A.R. 3,2011-06-21,['Action']
Magicka: Frozen Lake,2011-06-21,"['Action', 'RPG']"
Magicka: The Watchtower,2011-06-21,"['Action', 'RPG']"
Trainz Simulator DLC: The Duchess,2011-06-22,['Simulation']
Magicka: Party Robes,2011-06-21,"['Action', 'RPG']"
Europa Universalis III: Western - AD 1400 Spritepack,2011-06-23,['Strategy']
Dungeons and Dragons: Daggerdale,2011-06-24,"['Action', 'RPG']"
RETRO – Expansion Pack for RACE 07,2011-06-23,['Racing']
Farming Simulator 2011 Equipment Pack 2,2011-06-24,['Simulation']
Europa Universalis III: Eastern - AD 1400 Spritepack,2011-06-23,['Strategy']
Hearts of Iron III: For the Motherland,2011-06-28,['Strategy']
Worms Reloaded: Puzzle Pack,2011-06-30,['Strategy']
Worms Reloaded: Retro Pack,2011-06-30,['Strategy']
Worms Reloaded: Time Attack Pack,2011-06-30,['Strategy']
Dungeons: Map Pack DLC,2011-07-01,"['Strategy', 'RPG']"
Worms Reloaded: Forts Pack,2011-06-30,['Strategy']
Puzzle Agent 2,2011-06-30,"['Adventure', 'Casual']"
Killing Floor: Steampunk Character Pack,2011-07-02,['Action']
Pride of Nations: Spanish-American War 1898,2011-07-18,['Strategy']
Tobe's Vertical Adventure,2011-07-18,"['Action', 'Adventure', 'Indie']"
Fallout New Vegas: Old World Blues,2011-07-18,"['Action', 'RPG']"
"Warhammer 40,000: Dawn of War II: Retribution - Ulthwe Wargear DLC",2011-07-19,['Strategy']
IL-2 Sturmovik: Cliffs of Dover,2011-07-19,['Simulation']
Lucid,2011-07-19,"['Indie', 'Casual']"
Train Simulator: BR Class 421 '4CIG' Loco,2011-07-19,['Simulation']
Homefront: Express 870 Shotgun,2011-07-21,['Action']
Runespell: Overture,2011-07-20,"['Adventure', 'Indie', 'RPG']"
Men of War: Assault Squad - Skirmish Pack,2011-07-21,['Strategy']
Aaaaa! - Brutal Concussion,2011-07-22,"['Action', 'Indie']"
Delve Deeper: Treasures and Tunnels,2011-07-22,"['Adventure', 'Strategy', 'RPG', 'Indie']"
A.R.E.S.: Berzerker Suit,2011-07-22,"['Action', 'Indie']"
Cities in Motion: Metro Stations,2011-07-22,['Simulation']
Nancy Drew®: Secrets Can Kill REMASTERED,2010-08-24,['Adventure']
ARMA: Cold War Assault,2011-08-08,"['Action', 'Simulation', 'Strategy']"
SpaceChem: 63 Corvi,2011-07-22,"['Casual', 'Indie']"
Tropico 4,2011-09-01,"['Simulation', 'Strategy']"
Nancy Drew®: The Captive Curse,2011-06-28,['Adventure']
Nancy Drew®: Trail of the Twister,2010-06-29,['Adventure']
The Clockwork Man,2011-08-10,"['Indie', 'Casual']"
Pride of Nations: American Civil War 1862,2011-08-10,['Strategy']
EDGE,2011-08-11,"['Action', 'Indie']"
Civilization V - Civ and Scenario Pack: Korea,2011-08-11,['Strategy']
Civilization V - Scenario Pack: Wonders of the Ancient World,2011-08-11,['Strategy']
Sanctum: Official Soundtrack,2011-08-12,['Indie']
Hacker Evolution Duality,2011-08-15,['Indie']
Space Pirates and Zombies,2011-08-15,"['Action', 'Indie', 'RPG', 'Strategy']"
Section 8: Prejudice Frontier Colonies Map Pack,2011-08-16,['Action']
Section 8: Prejudice Blitz Pack,2011-08-16,['Action']
Section 8: Prejudice Overdrive Map Pack,2011-08-16,['Action']
"Warhammer 40,000: Dawn of War II - Ultramarines Pack",2011-08-16,['Strategy']
Fallout New Vegas®: Lonesome Road™,2011-09-20,"['Action', 'RPG']"
Puzzle Pirates,2011-08-31,"['Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'Strategy']"
The Baconing,2011-08-31,"['Action', 'Adventure', 'RPG']"
"Warhammer 40,000: Space Marine",2011-09-05,['Action']
Men of War: Vietnam,2011-09-08,['Strategy']
Hard Reset Extended Edition,2012-07-12,"['Action', 'Indie']"
Pride of Nations: The Franco-Prussian War 1870,2011-09-06,['Strategy']
Wasteland Angel,2011-09-01,"['Action', 'Indie']"
Rock of Ages,2011-09-07,"['Action', 'Indie', 'Racing', 'Strategy']"
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,2011-09-13,"['Action', 'Massively Multiplayer', 'Simulation']"
Call of Juarez®: The Cartel,2011-09-13,"['Action', 'Adventure']"
Cities in Motion: German Cities,2011-09-14,['Simulation']
Magic: The Gathering 2012 - Expansion,2011-09-14,['Strategy']
Sengoku,2011-09-15,"['RPG', 'Simulation', 'Strategy']"
Astro Tripper,2011-09-15,"['Action', 'Indie']"
Nancy Drew®: Shadow at the Water's Edge,2010-10-19,['Adventure']
Two Worlds II - Pirates of the Flying Fortress,2011-09-20,['RPG']
Bunch of Heroes,2011-09-21,"['Action', 'Indie']"
Duke Nukem Forever: Hail to the Icons Parody Pack,2011-10-11,['Action']
Might &amp; Magic: Heroes VI,2011-10-13,"['RPG', 'Strategy']"
Supreme Commander: Forged Alliance,2011-09-28,['Strategy']
The Binding of Isaac,2011-09-28,"['Action', 'Adventure', 'Indie', 'RPG']"
Farming Simulator 2011 Equipment Pack 3,2011-09-29,['Simulation']
Off-Road Drive,2011-09-29,"['Racing', 'Simulation']"
Supreme Commander,2007-02-20,['Strategy']
Fate of the World: Tipping Point,2011-09-29,"['Strategy', 'Indie', 'Casual', 'Simulation']"
Post Apocalyptic Mayhem: DLC - Chaos Pack,2011-09-29,"['Action', 'Racing']"
Fate of the World: Denial,2011-09-29,"['Strategy', 'Indie', 'Casual', 'Simulation']"
Fate of the World: Migration,2011-09-29,"['Strategy', 'Indie', 'Casual', 'Simulation']"
Sniper: Ghost Warrior - Second Strike,2011-09-09,['Action']
Air Conflicts: Secret Wars,2011-09-30,"['Action', 'Simulation']"
Fate of the World: Extras Pack,2011-09-29,"['Strategy', 'Indie', 'Casual', 'Simulation']"
Dead Rising 2: Off the Record,2011-10-11,"['Action', 'Adventure']"
The Baconing DLC - Roesha – One Bad Mutha Co-op Character,2011-10-11,"['Action', 'Adventure', 'RPG']"
Disciples III - Resurrection,2011-10-11,['Strategy']
Memoir '44 Online,2011-10-12,"['Casual', 'Simulation', 'Strategy']"
Train Simulator: Amtrak Acela Express EMU Add-On,2011-10-13,['Simulation']
Costume Quest,2011-10-14,"['Adventure', 'Casual', 'RPG']"
The Sims™ 3 Pets,2011-10-18,['Simulation']
Gratuitous Space Battles: The Parasites,2011-10-17,"['Strategy', 'Indie', 'Simulation']"
Serious Sam: The Random Encounter,2011-10-24,"['Action', 'Indie', 'RPG']"
Before the Echo,2011-10-20,"['Indie', 'RPG']"
Puzzler World 2,2011-10-24,"['Casual', 'Indie', 'Strategy']"
Airline Tycoon 2,2011-10-24,"['Simulation', 'Strategy']"
ArcaniA: Fall of Setarrif,2011-10-24,['RPG']
The Haunted: Hells Reach,2011-10-24,"['Action', 'Indie']"
Orcs Must Die! - Artifacts of Power,2011-10-25,"['Action', 'Indie', 'Strategy']"
Dungeon Siege III: Treasures of the Sun,2011-10-25,"['Action', 'RPG']"
DC Universe™ Online,2011-11-02,"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']"
Saints Row: The Third Initiation Station,2011-11-01,['Action']
Tropico 4: Junta Military DLC,2011-11-03,"['Simulation', 'Strategy']"
Sonic Generations Collection,2011-11-03,['Action']
Nancy Drew®: Alibi in Ashes,2011-11-02,['Adventure']
Orcs Must Die! - Lost Adventures,2011-11-08,"['Action', 'Indie', 'Strategy']"
Call of Duty®: Modern Warfare® 3,2011-11-08,['Action']
L.A. Noire,2011-11-08,"['Adventure', 'Strategy']"
L.A. Noire: DLC Bundle,2011-11-08,"['Adventure', 'Strategy']"
Men of War: Assault Squad - MP Supply Pack Charlie,2011-11-09,['Strategy']
Jamestown Soundtrack,2011-11-10,"['Action', 'Indie']"
"Jamestown: Gunpowder, Treason, &amp; Plot",2011-11-10,"['Action', 'Indie']"
Dungeon Defenders Halloween Costume Pack,2011-11-11,nan
Dungeon Defenders Capture the Flag Pre-Alpha Pass (Free DLC),2011-11-11,nan
Dungeon Defenders Halloween Mission Pack,2011-11-11,"['Strategy', 'RPG', 'Indie']"
Fractal: Make Blooms Not War,2011-11-29,"['Indie', 'Casual']"
Magicka: Horror Props Item Pack,2011-11-29,"['Action', 'RPG']"
SkyDrift,2011-11-21,"['Indie', 'Racing']"
Magicka: Holiday Spirit Item Pack,2011-11-29,"['Action', 'RPG']"
Total War: SHOGUN 2 - The Hattori Clan Pack,2011-11-30,['Strategy']
Total War: Shogun 2 - Blood Pack DLC,2011-11-30,['Strategy']
Magicka: The Stars Are Left,2011-11-29,"['Action', 'RPG']"
Europa Universalis III: Reformation SpritePack,2011-11-30,['Strategy']
Europa Universalis III: Enlightenment SpritePack,2011-11-30,nan
Real Warfare 1242,2010-06-11,['Strategy']
Batman Arkham City: Nightwing Bundle,2011-12-01,['Action']
Galactic Civilizations® II: Ultimate Edition,2011-12-02,['Strategy']
Train Simulator: West Coast Main Line North Route Add-On,2011-12-01,['Simulation']
